CommentId,WorkerId,GSRightCount,Weight,FormalityRating,RespectRating,StereotypeRating,ToxicityRating,formalityCoded,respectCoded,stereotypeCoded,toxicityCoded,Platform,Comment,TOXICITY_SCORE,SEVERE_TOXICITY_SCORE,IDENTITY_ATTACK_SCORE,INSULT_SCORE,PROFANITY_SCORE,THREAT_SCORE
yt10,A1TFWB4P6PXA3M,3,1.0,Formal,Slightly Disrespectful,Not present,Toxic,2,2,1,6,2,You are such a biased and terrible “news” organization. Why don’t you tell the whole story? The numbers you reported means there is a 0.00055% chance of dying from CV in Sweden.,0.30131820000000004,0.13071324,0.13756728,0.35759148,0.09719028,0.09386699999999999
tw29,A1TFWB4P6PXA3M,3,1.0,Very informal,Disrespectful,Possibly present,Very_Toxic,4,1,2,7,3,"Well duh, freedom is all about your own freedom, not other people’s, life, liberty and the pursuit of happiness, fuck everyone else",0.9018226,0.75180644,0.45438802,0.734651,0.93690646,0.37434107
yt3,A1TFWB4P6PXA3M,3,1.0,Informal,Slightly Disrespectful,Not present,Hard_To_Say_Toxic,3,2,1,5,2,Clog the street is the plan? They know about ESSENTIAL employees that need to travel right? Oh and they'll be saving lives unlike her hairdresser. ( no offense to hairdressers),0.096101955,0.040621433,0.03733117,0.07412244400000001,0.02708262,0.17155726
tw15,A1TFWB4P6PXA3M,3,1.0,Informal,Slightly Disrespectful,Possibly present,Toxic,3,2,2,6,3,"Can’t talk about their human rights when African Americans are still fighting for civil rights lol. We (America) can’t discuss any other counties human rights while ours are getting destroyed, while being a “democracy.”",0.40632084,0.23426819,0.6104486,0.29900079999999996,0.16226141,0.37202454
nw2,A1TFWB4P6PXA3M,3,1.0,Formal,Partially Respectful,Possibly present,Hard_To_Say_Toxic,2,3,2,5,1,A common rule of thumb by wealth managers... its the 3rd generation that loses it..  And the cycle repeats.,0.06271943,0.013722073000000001,0.05798526,0.04190202,0.011731488,0.0329196
yt17,A1TFWB4P6PXA3M,3,1.0,Informal,Slightly Disrespectful,Not present,Very_Toxic,3,2,1,7,2,You look amazing. Thank you for your sweet words. Tell your son to turn himself in for being a pedophile. He has hurt many young girls.,0.62353015,0.38057655,0.45834672,0.6057816999999999,0.27035573,0.33307755
tw21,A1TFWB4P6PXA3M,3,1.0,Informal,Disrespectful,Possibly present,Toxic,3,1,2,6,3,"Good! There is no reason to leave these effigies to people who did horrible, inhuman things standing. It's beyond time we get over the lies we were told in school about these supposed American heroes and acknowledge that they did shitty things and shouldn't be idolized for them.",0.66930974,0.3159528,0.23477411,0.5953457,0.81307477,0.15522663
yt9,A1TFWB4P6PXA3M,3,1.0,Formal,Slightly Disrespectful,Possibly present,Hard_To_Say_Toxic,2,2,2,5,2,"With research from Stanford out of Santa Clara, and similar work being done in Germany and LA all showing that the virus is far more widespread than previously thought, making the death rate vastly lower than previously thought, the real hard lesson is that politicians are incompetent to the point of almost being a public menace. And their idiocracy has caused untold amounts of economic strife and fallout.",0.29329735,0.082467474,0.15654142,0.3523373,0.068465814,0.19544321
nw4,A1TFWB4P6PXA3M,3,1.0,Formal,Partially Respectful,Not present,Not_Toxic,2,3,1,2,1,Disaster indeed. That for two weeks no one cared to wonder where he was is heartbreaking.,0.09393505,0.026564773,0.030147444,0.08247915,0.027348429,0.059725314
tw4,A1TFWB4P6PXA3M,3,1.0,Informal,Slightly Disrespectful,Possibly present,Very_Toxic,3,2,2,7,3,"Wait until the prison numbers start coming in.
If they ever do.
Trump will think even that will dampen his reelection chances.
Wait until people start to put together the numbers of people who have died at home and weren't counted. It might double or triple current U.S. numbers.",0.10723468,0.036041647,0.07359354,0.11182657,0.015815761,0.18106164
